,Unnamed: 0,day,time,labels,text,tweet,hashtags
478,494,19-05-2020,23:53,0,"#Medicines & other goods suppliers #medical #staff.
Chinchpoklicha Chintamani Sevak Saluting all above #CoronaWarriors by keeping their #logo as our #NewProfiePic
#IndiaFightsCorona #IndiaSalutesCoronaWarriors #SwasthaBharat #CoronaWarriorsIndia #CoronaVirus #CoronaVirusUpdates",medicin   good   supplier   medic   staff   chinchpoklicha   chintamani   sevak   salut   coronawarrior   keep   logo   newprofiep   indiafightscorona   indiasalutescoronawarrior   swasthabharat   coronawarriorsindia   coronaviru   coronavirusupd  ,"['#medicines', '#medical', '#staff', '#coronawarriors', '#logo', '#newprofiepic', '#indiafightscorona', '#indiasalutescoronawarriors', '#swasthabharat', '#coronawarriorsindia', '#coronavirus', '#coronavirusupdates']"
544,561,19-05-2020,23:37,-1,#Covid_19 #CoronaWarriors @DeepakT09955022 he is such a great man. Hattsoff to u sir aap daily 3000 around logo ko khana khilate ho may god bless u Ã°ÂÂÂ @RajatSharmaLive @aajtak @RubikaLiyaquat @ArvindKejriwal @anjanaomkashyap @ChorasiaDeepak @makeinindia @narendramodi https://twitter.com/DeepakT09955022/status/1262713692564553728ÃÂ Ã¢ÂÂ¦,covid   coronawarrior   great   man   hattsoff   u   sir   aap   daili   around   logo   ko   khana   khilat   ho   may   god   bless   u   http   twitter      deepakt   statu  ,"['#covid_19', '#coronawarriors']"
565,586,19-05-2020,23:31,1,"#BreakingNews #BREAKING
#CoronaWarriors in #Ludhiana protest against poor quality #n95masks
#PPE kits. @CMOPb #Covid_19 #BalbirSidhu @drharshvardhan @aayushgoel83 writes for @TheWeekLive https://www.theweek.in/news/india/2020/05/19/poor-quality-masks-ludhiana-govt-hospital-staff-protests-as-4-colleagues-get-infected.htmlÃÂ Ã¢ÂÂ¦",breaknew   break   coronawarrior   ludhiana   protest   poor   qualiti   nmask   ppe   kit   covid   balbirsidhu   write   http   ww   theweek   news   india   poor   qualiti   mask   ludhiana   govt   hospit   staff   protest   colleagu   get   infect   html  ,"['#breakingnews', '#breaking', '#coronawarriors', '#ludhiana', '#n95masks', '#ppe', '#covid_19', '#balbirsidhu']"
687,709,19-05-2020,23:03,-1,@CP_RajkotCity @smartcityrajkot Your Team has done a wonderful job to control the spread of #Corona in Rajkot.the way you have managed the whole situation is really commendable...other cities should follow you...Kudos to u #CoronaWarriors Ã°ÂÂÂ #IndiaFight,team   done   wonder   job   control   spread   corona   rajkot   way   manag   whole   situat   realli   mend   citi   follow   kudo   u   coronawarrior   indiafightscorona   stayhomestaysaf  ,"['#corona', '#coronawarriors', '#indiafightscorona', '#stayhomestaysafe']"
1576,1639,21-05-2020,23:31,-1,"#CoronaWarrior #CoronaWarriorsIndia #CoronaWarriors #coronawarriorsspecial #coronafighters #coronafighting with @MahindraXUV500 @anandmahindra @MahindraRise on  #mumbaifightscovid19 #Covid_19
#corporateaccountability
#CSR
@amfahindia @mybmcHealthDept
 https://timesofindia.indiatimes.com/business/india-business/air-products-company-installs-dehumidifiers-in-covid-19-hospitals/articleshow/75822459.cms?fbclid=IwAR0OutqIsYYj1K35eygkLjZUB6EAl18WOCSJ1EqWyUImV8ERRvJwj52zIWYÃÂ Ã¢ÂÂ¦ pic.twitter.com/sJBVQdmjYa",coronawarrior   coronawarriorsindia   coronawarrior   coronawarriorsspeci   coronafight   coronafight   mumbaifightscovid   covid   corporateaccount   csr   http   timesofindia   indiatim      busi   india   busi   air   product   pani   instal   dehumidifi   covid   hospit   articleshow   cm   fbclid   iwaroutqisyyjkeygkljzubealwocsjeqwyuimverrvjwjziwi      twitter      sjbvqdmjya  ,"['#coronawarrior', '#coronawarriorsindia', '#coronawarriors', '#coronawarriorsspecial', '#coronafighters', '#coronafighting', '#mumbaifightscovid19', '#covid_19', '#corporateaccountability', '#csr']"
1849,1923,21-05-2020,22:04,1,"Today 200 people recovered and discharged from Covid19 from Ahmedabad 
#Corona 
Wonderful work by #Coronawarriors AMC-Amdavad Municipal Corporation 
#ahmedabadcorona #ahmedabad
#coronavirus",today   peopl   recov   discharg   covid   ahmedabad   corona   wonder   work   coronawarrior   amc   amdavad   municip   corpor   ahmedabadcorona   ahmedabad   coronaviru  ,"['#corona', '#coronawarriors', '#ahmedabadcorona', '#ahmedabad', '#coronavirus']"
2044,2126,21-05-2020,21:15,-1,@ArvindKejriwal sir are we really serious for our warrior... Our warrior need quarantine for their and their peer safety. Please think twice. @aajtak @ZeeNews @ndtv #CoronaUpdatesInIndia #CoronaWarriors #justiceforcoronawarriors @AamAadmiParty @BJP4India ,sir   realli   seriou   warrior   warrior   need   quarantin   peer   safeti   pleas   think   twice   coronaupdatesinindia   coronawarrior   justiceforcoronawarrior      twitter      myacwkqkui  ,"['#coronaupdatesinindia', '#coronawarriors', '#justiceforcoronawarriors']"
2076,2159,21-05-2020,21:08,-1,"Gujarat Corona Updates
21/05/2020, 7:40 PM

#coronaupdateingujarat
#Covid_19india
#CoronaWarriors
#CoronaUpdatesInIndia pic.twitter.com/KFYXaL1M9Q",gujarat   corona   updat   pm   coronaupdateujarat   covid   india   coronawarrior   coronaupdatesinindia      twitter      kfyxalmq  ,"['#coronaupdateingujarat', '#covid_19india', '#coronawarriors', '#coronaupdatesinindia']"
2507,2617,22-05-2020,21:46,-1,"Gujarat Corona Updates
22/05/2020, 8 PM

#coronaupdateingujarat
#Covid_19india
#CoronaWarriors
#CoronaUpdatesInIndia pic.twitter.com/KrOYYGNpX9",gujarat   corona   updat   pm   coronaupdateujarat   covid   india   coronawarrior   coronaupdatesinindia      twitter      kroyygnpx  ,"['#coronaupdateingujarat', '#covid_19india', '#coronawarriors', '#coronaupdatesinindia']"
2553,2668,22-05-2020,21:34,-1,"Why donÃ¢ÂÂt you check the global average of the COVID tests?

As per the current government declaration regarding declaration and statistics I can observe it there trying to pull more positivity instead of real facts and figures. 
#IndiaFightsCorona #india #CoronaWarriors pic.twitter.com/5QDFXgOWkW",check   global   averag   covid   test   per   current   govern   declar   regard   declar   statist   observ   tri   pull   posit   instead   real   fact   figur   indiafightscorona   india   coronawarrior      twitter      qdfxgowkw  ,"['#indiafightscorona', '#india', '#coronawarriors']"
