,Unnamed: 0,day,time,labels,text,tweet,hashtags
248,254,04-05-2020,23:15,-1,What if the genetic code published in January by China on corona virus has a flaw? ItÃ¢ÂÂs possible! Who checked on it? not WHO I hope. #thingsifinddisturbing #COVID19 #ChinaMustExplain,genet   code   publish   januari   china   corona   viru   flaw   possibl   check   hope   thsifinddisturb   covid   chinamustexplain  ,"['#thingsifinddisturbing', '#covid19', '#chinamustexplain']"
366,378,04-05-2020,22:53,1,Is he serious? Does he knows the number of cases reported after 40 day lockdown?? Ask them to 1st come out clean on #WuhanVirus. We all must force  #ChinaMustExplain,seriou   know   number   case   report   day   lockdown   ask   st   e   clean   wuhanviru   must   forc   chinamustexplain  ,"['#wuhanvirus', '#chinamustexplain']"
967,994,06-05-2020,23:13,-1,Ã°ÂÂÂ¯ % something fishy is happening here! #corona #coronavirus #CoronavirusIndia #coronavirusinindia #ChinaMustExplain #ChineseVirus19 pic.twitter.com/44XhTfqvez,someth   fishi   happen   corona   coronaviru   coronavirusindia   coronavirusinindia   chinamustexplain   chineseviru      twitter      xhtfqvez  ,"['#corona', '#coronavirus', '#coronavirusindia', '#coronavirusinindia', '#chinamustexplain', '#chinesevirus19']"
1200,1234,06-05-2020,22:27,-1,please all jr ntr follow @tarak9999 anna thise who joined recently #PromoteTarakians #KomaramBheemNTR #RRRMovie #ntr30 #jrntr #COVID #Covid_19india #COVID2019 #coronaviruschina #chinavirus #lockdownextension #wednesdaymorning #StayHome #COVID2019india,pleas   jr   ntr   follow   anna   thise   join   recent   promotetarakian   komarambheemntr   rrmovi   ntr   jrntr   covid   covid   india   covid   coronaviruschina   chinaviru   lockdownextens   wednesdaymorn   stayhom   covidindia  ,"['#promotetarakians', '#komarambheemntr', '#rrrmovie', '#ntr30', '#jrntr', '#covid', '#covid_19india', '#covid2019', '#coronaviruschina', '#chinavirus', '#lockdownextension', '#wednesdaymorning', '#stayhome', '#covid2019india']"
1734,1779,08-05-2020,23:52,-1,"Sir @narendramodi ji, #China have done experiment of #Coronavirus by knowingly & all world's suffering from #Corona nw & they r chilling out. such a worst country ever. #China have done explosion of #coronavirus just to become superpower country of the world??
#Covid_19 #COVIDIOT",sir   ji   china   done   experi   coronaviru   knowli   world   suffer   corona   nw   r   chill   worst   countri   ever   china   done   explos   coronaviru   be   superpow   countri   world   covid   covidiot  ,"['#china', '#coronavirus', '#corona', '#china', '#coronavirus', '#covid_19', '#covidiot']"
2080,2128,08-05-2020,22:30,-1,Has #china controlled the #Covid_19 #pandamic or not releasing real-time #data to the #World ? #coronavirus  pic.twitter.com/RFt9cQhUMl,china   control   covid   pandam   releas   real   time   data   world   coronaviru      twitter      rftcqhuml  ,"['#china', '#covid_19', '#pandamic', '#data', '#world', '#coronavirus']"
2108,2156,08-05-2020,22:25,1,"Lockdown mein interview #lockdown #covid19 #interview #china #india #stayhome #news #masti @ Indore, India  https://www.instagram.com/p/B_7zBI6gjKt/?igshid=bporr0t2b2liÃÂ Ã¢ÂÂ¦",lockdown   mein   interview   lockdown   covid   interview   china   india   stayhom   news   masti   indor   india   http   ww   instagram      p   b   zbigjkt   igshid   bporrtbl  ,"['#lockdown', '#covid19', '#interview', '#china', '#india', '#stayhome', '#news', '#masti']"
2670,2737,09-05-2020,22:20,-1,"@narendramodi @realDonaldTrump @nytimes @timesofindia Just one QuestionÃ¢ÂÂ How china able to control Covid-19 which is originated in China in less than 2 months in Wuhan itself? Common sense : China Got Anti-dote 
#biggestbioweapon #Covid_19 #ChinaVirus #",one   question   china   abl   control   covid   origin   china   le   month   wuhan   mon   sens   china   got   anti   dote   biggestbioweapon   covid   chinaviru   chinaliedpeopledi  ,"['#biggestbioweapon', '#covid_19', '#chinavirus', '#chinaliedpeopledie']"
3900,4020,12-05-2020,23:20,-1,Modi jee speech is longer than nowadays relationships . Ã°ÂÂÂ#8PMModi #8PMStories #corona #ChinaLiedPeopleDied #ChinaVirus #ChinaMustExplain,modi   jee   speech   longer   nowaday   relationship   pmmodi   pmstori   corona   chinaliedpeopledi   chinaviru   chinamustexplain  ,"['#8pmmodi', '#8pmstories', '#corona', '#chinaliedpeopledied', '#chinavirus', '#chinamustexplain']"
4324,4456,13-05-2020,23:36,1,"#Top Headlines that needs your attention.
.
.
*Headline 1: Receive 
.
.
#Guwahati #tnec #Assam #NorthEast #India #China #Corona #Virus #Trending #Lockdown #USA #Spain #Italy #BJP #Modi #Government #Delhi #MumbaiÃ¢ÂÂ¦  https://www.instagram.com/p/CAIzFbcnW97/?igshid=a2p1o00ju91aÃÂ Ã¢ÂÂ¦",top   headlin   need   attent   headlin   receiv   guwahati   tnec   assam   northeast   india   china   corona   viru   trend   lockdown   usa   spain   itali   bjp   modi   govern   delhi   mumbai   http   ww   instagram      p   caizfbcnw   igshid   apojua  ,"['#top', '#guwahati', '#tnec', '#assam', '#northeast', '#india', '#china', '#corona', '#virus', '#trending', '#lockdown', '#usa', '#spain', '#italy', '#bjp', '#modi', '#government', '#delhi', '#mumbai']"
4341,4473,13-05-2020,23:32,-1,"A ring of conflict all around #China is likely. 

It is picking up fights with #India , #Vietnam , #Japan , #Australia , in HongKong Taiwan and even US base in #Guam
China is preparing for the big disclosure on hw #coronavirus started in its lab and the world reaction after that",r   conflict   around   china   like   k   fight   india   vietnam   japan   australia   hongkong   taiwan   even   u   base   guam   china   prepar   big   disclosur   hw   coronaviru   start   lab   world   reaction  ,"['#china', '#india', '#vietnam', '#japan', '#australia', '#guam', '#coronavirus']"
4989,5147,14-05-2020,23:01,-1,"Now its 100% sure that wohan/ china is the epicentre of Coronavirus
#China must pay ($30 trillion) to world for covid19 Genocide
#Ban China goodsÃ°ÂÂÂ",sure   wohan   china   eentr   coronaviru   china   must   pay   trillion   world   covid   genocid   ban   china   good  ,"['#china', '#ban']"
5004,5162,14-05-2020,22:59,-1,"this #pandemicÃ¢ÂÂwhere Europeans are openly questioning #EU solidarityÃ¢ÂÂhas been an ideal opportunity for
#China to poke more holes through European unity | Opinion https://www.newsweek.com/while-us-sits-back-china-using-covid-19-cozy-europe-opinion-1503778ÃÂ Ã¢ÂÂ¦",pandem   european   openli   question   eu   solidar   ideal   opportun   china   poke   hole   european   uniti   opinion   http   ww   newsweek      u   sit   back   china   use   covid   cozi   europ   opinion  ,"['#pandemic', '#eu', '#china']"
996,1023,06-05-2020,23:08,-1,"One person from Cachar district has tested positive for COVID-19 on May 6. 

#Assam #COVID19
#Corona
 https://www.guwahatiplus.com/daily-news/covid-19-assam-s-tally-rises-to-45ÃÂ Ã¢ÂÂ¦",one   person   cachar   district   test   posit   covid   may   assam   covid   corona   http   ww   guwahatiplu      daili   news   covid   assam   talli   rise  ,"['#assam', '#covid19', '#corona']"
1480,1520,07-05-2020,23:18,-1,"Rumours are floating around that one Dr Pankhi Dutta has tested positive for Covid-19.ÃÂ 

#Assam #Guwahati #coronavirus
#Covid_19 @himantabiswa
#lockdownextension https://www.guwahatiplus.com/daily-news/fact-check-dr-pankhi-dutta-has-no-connection-to-latest-guwahati-covid-19-casesÃÂ Ã¢ÂÂ¦",rumour   float   around   one   dr   pankhi   dutta   test   posit   covid   assam   guwahati   coronaviru   covid   lockdownextens   http   ww   guwahatiplu      daili   news   fact   check   dr   pankhi   dutta   connect   latest   guwahati   covid   case  ,"['#assam', '#guwahati', '#coronavirus', '#covid_19', '#lockdownextension']"
1528,1568,07-05-2020,23:10,1,"Dear sir, #Assam should strictly prohibit inter state movement and my humble request to you sir please provide to them facility or hostels quarantine not for home quarantine those who are coming from outside to Assam  at the situation #Covid_19india",dear   sir   assam   strictli   prohibit   inter   state   movement   humbl   request   sir   pleas   provid   facil   hostel   quarantin   home   quarantin   e   outsid   assam   situat   covid   india  ,"['#assam', '#covid_19india']"
